,0,1
0,color,263303
1,country/region of manufacture,65890
2,us shoe size men's,322570
3,style,325959
4,brand,326099
5,material,53610
6,width,126104
7,us size,1353
8,type,8144
9,type 2,536
10,pattern,49929
11,upc,10202
12,modified item,34420
13,euro size,77613
14,features,43429
15,style number,292
16,product line,165983
17,shade,4649
18,model,134748
19,mpn,55980
20,idset_mpn,27309
21,uk size,1435
22,gender,6433
23,shoe height,39395
24,manufacturer,2394
25,size type,3070
26,sole,1811
27,lining,1616
28,sub style,20053
29,retail value,1
30,shoe number,1
31,cm size,109
32,product type,631
33,shoe type,153
34,colour,1472
35,year,34201
36,upper material,56683
37,closure,50420
38,manufacturer color,30734
39,model number,450
40,personalized,2662
41,customized,2755
42,insole type,43
43,purpose,62
44,season,58
45,user type,68
46,shank material,47
47,sole material,10
48,size men's,1685
49,sleeve length,8
50,theme,122
51,country of manufacture,1515
52,o_category,132
53,bottoms size men's,1620
54,bottoms size women's,1480
55,size women's,1551
56,size,6566
57,modification description,294
58,us shoe size women's,2063
59,jacket size,1193
60,waist size,1194
61,ftg number,534
62,fastening,1788
63,more features,4
64,nick name,22
65,us shoe size youth,180
66,authenticity,908
67,us shoe size baby & toddler,85
68,release year,31
69,cm,237
70,ean,3879
71,uk shoe size men's,239
72,sport,1075
73,us shoe size wmns,2
74,material type,219
75,main color,1246
76,outsole,9
77,return address,214
78,style name,195
79,womens,13
80,style code,332
81,condition notes,69
82,partnumber,1178
83,publisher,775
84,binding,2150
85,label,892
86,numberofitems,302
87,department,2246
88,isbn,2408
89,productgroup,2041
90,nickname,23
91,loc no,213
92,feature,373
93,occasion,823
94,shaft height,597
95,athletic style,217
96,age group,178
97,product code,71
98,custom bundle,111
99,product id,322
100,location,92
101,exact colour,56
102,shoe size,2333
103,color code,93
104,quantity,18
105,stylenumber,3093
106,main colour,1408
107,manufacturer colour,260
108,customer service,12
109,item model number,806
110,tax,75
111,shipping weight,962
112,gift,21
113,item_length,138
114,returns,13
115,product dimensions,326
116,shipping,48
117,ships from,11
118,item_width,138
119,handling time,10
120,accents,101
121,heel height,580
122,california prop 65 warning,334
123,msrp,69
124,tongue,2
125,footbed,1
126,weight,417
127,japan size,6
128,uk,63
129,country,768
130,model #,317
131,hosiery size,124
132,sock size,127
133,medical,22
134,brand item specific,16
135,activity,161
136,womens size,26
137,bin,2
138,at widest,1
139,length,10
140,country//region of manufacture,245
141,character,78
142,asics no.,1
143,article type,27
144,upper,67
145,outer sole,16
146,mid sole,12
147,designer size,7
148,package dimensions,536
149,shoe category,20
150,5.5-6.5/men,2
151,featured refinements,27
152,ct,83
153,retail price,520
154,category,129
155,marke,27
156,höhe filtern,1
157,style no,12
158,professional athlete,62
159,product name,97
160,collections,31
161,producent code,32
162,sex,44
163,clasp,50
164,mark,54
165,insert material,51
166,external material,49
167,corks,29
168,uk shoe size women's,47
169,eur shoe size women's,79
170,footwear type,9
171,team,80
172,color 2,15
173,use,25
174,international shipping,136
175,delivery,11
176,domestic shipping,142
177,money back,10
178,origin,12
179,price,13
180,seller,23
181,eu shoe size,509
182,model name,22
183,style id,15
184,size in uk,1
185,colorname,231
186,look,20
187,dimensions,360
188,clothingsize,114
189,inv,28
190,sku,145
191,range,21
192,adidas range,7
193,ftg numbers,9
194,age,86
195,sub-type,12
196,women's size,100
197,model#,2
198,terrain,15
199,shoe style,28
200,us shoe size men\\'s,22
201,colors,27
202,merchant category,26
203,material 2,7
204,product,54
205,player,48
206,non-domestic product,66
207,ethnicity,3
208,features & fastening,167
209,manufacturer product id,80
210,inventory,11
211,store use only,14
212,bonus item,1
213,special edition,2
214,us size women's,12
215,s/n,3
216,personalised,2
217,suitable for,12
218,customised,3
219,size guide,1
220,10.5,1
221,model no.,42
222,us shoe size women,18
223,new balance men's sneakers,1
224,heel type,31
225,featured graphics,17
226,youth size,5
227,material composition,95
228,heel style,31
229,bq6851 001 men,2
230,black / black - anthracite,2
231,exact shaft height,1
232,color shade,8
233,mens comfort shoes,1
234,full colorway,32
235,retro 1,26
236,black / gym red - muslin,11
237,bq6682 006,11
238,us women's shoe size,3
239,vapormax,24
240,original retail price,3
241,comfort,7
242,size cms,35
243,shoe size cms,40
244,us shoe size,27
245,shoe size us,32
246,shoe size eur,1
247,shoes size cms,2
248,shoes size us,2
249,seller inventory location,8
250,japan,2
251,velcro strap,3
252,size us,29
253,women's,2
254,character family,12
255,alternative mpn,2
256,all sales are final exchange only!,363
257,extra,4
258,uk shoe size,77
259,size cm,8
260,packaging,13
261,recommended age range,2
262,era,3
263,1,2
264,us women's size,19
265,marca,15
266,areatrend catalog #,37
267,title,70
268,collection,110
269,fashion trend,42
270,sticky note,21
271,product number,87
272,insole,75
273,colore principale,3
274,gamma,2
275,materiale tomaia,4
276,occasione,4
277,stile,5
278,allacciatura,5
279,item #,38
280,adidas originals,5
281,stock#,10
282,women's us size,9
283,unisexmensizeattribute,16
284,option,2
